;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 3.565 ; 3.343 ; 3.310 ; 1.049 ;;
REGIÓN SIERRA;; 3.309 ; 3.087 ; 2.848 ; 613 ;;
REGIÓN COSTA;; 256 ; 256 ; 462 ; 436 ;;
REGIÓN AMAZÓNICA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 10 ; 10 ; 19 ; 18 ;;
;Asociado; 738 ; 633 ; 167 ; 5 ;;
BOLÍVAR;Solo; 1.016 ; 1.001 ; 1.844 ; 260 ;;
;Asociado;;;;;;
CAÑAR;Solo; 20 ; 20 ; 21 ;;;
;Asociado; 361 ; 358 ; 128 ;;;
CARCHI;Solo; 90 ; 90 ; 91 ; 81 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 184 ; 155 ; 118 ; 66 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 595 ; 530 ; 362 ; 160 ;;
;Asociado;;;;;;
IMBABURA;Solo; 9 ; 9 ; 8 ;;;
;Asociado; 243 ; 237 ; 53 ; 6 ;;
LOJA;Solo;;;;;;
;Asociado; 5 ; 5 ; 0 ;;;
PICHINCHA;Solo; 11 ; 11 ; 13 ;;;
;Asociado; 8 ; 8 ; 3 ;;;
TUNGURAHUA;Solo; 19 ; 19 ; 21 ; 17 ;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 36 ; 36 ; 7 ;;;
;Asociado; 11 ; 11 ; 2 ;;;
ESMERALDAS;Solo; 23 ; 23 ; 13 ; 12 ;;
;Asociado;;;;;;
GUAYAS;Solo; 14 ; 14 ; 55 ; 53 ;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo; 172 ; 172 ; 386 ; 371 ;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
