;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Región y Provincia;GANADO PORCINO AL AÑO;;;ÍNDICE;;;;;
;TOTAL;;;;;;;;
;;;;;;;;;
TOTAL NACIONAL;2.485.226;;;;;;;;
REGIÓN SIERRA;1.615.918;;;;;;;;
REGIÓN COSTA;808.312;;;;;;;;
REGIÓN AMAZÓNICA;60.997;;;;;;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
AZUAY;64.309;;;;;;;;
BOLÍVAR;47.692;;;;;;;;
CAÑAR;47.398;;;;;;;;
CARCHI;35.788;;;;;;;;
COTOPAXI;179.727;;;;;;;;
CHIMBORAZO;134.585;;;;;;;;
IMBABURA;31.437;;;;;;;;
LOJA;44.172;;;;;;;;
PICHINCHA;99.123;;;;;;;;
TUNGURAHUA;375.734;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;555.952;;;;;;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
EL ORO;88.186;;;;;;;;
ESMERALDAS;52.005;;;;;;;;
GUAYAS;261.599;;;;;;;;
LOS RÍOS;176.905;;;;;;;;
MANABÍ;208.879;;;;;;;;
SANTA ELENA;20.738;;;;;;;;
;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;
MORONA SANTIAGO;10.544;;;;;;;;
NAPO;5.733;;;;;;;;
ORELLANA;10.927;;;;;;;;
PASTAZA;4.319;;;;;;;;
SUCUMBÍOS;14.953;;;;;;;;
ZAMORA CHINCHIPE;14.521;;;;;;;;
;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
