;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;TOTAL;SUPERFICIE PLANTADA (Has.);;;;;;;ÍNDICE;;
;;BRACHIARIA;GRAMALOTE;PASTO MIEL ;SABOYA;PASTO MIXTO;OTROS PASTOS CULTIVADOS;;;;
TOTAL NACIONAL;2.381.970;135.663;119.082;182.756;897.306;658.025;389.138;;;;
REGIÓN SIERRA;756.280;64.314;9.048;105.981;38.439;330.474;208.024;;;;
REGIÓN COSTA;1.221.578;66.165;4.692;71.290;835.659;151.663;92.109;;;;
REGIÓN AMAZÓNICA;404.112;5.184;105.342;5.485;23.209;175.887;89.006;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;85.841;1.878;332;1.073;1.066;52.396;29.096;;;;
BOLÍVAR;98.893;6.116;95;27.976;5.653;25.402;33.650;;;;
CAÑAR;35.694;;;3;;24.451;11.240;;;;
CARCHI;25.196;308;1.803;5;;14.194;8.886;;;;
COTOPAXI;72.512;64;500;7.548;2.850;37.086;24.463;;;;
CHIMBORAZO;60.759;654;107;2.184;207;33.997;23.611;;;;
IMBABURA;37.743;1.257;2.976;12.682;2.708;8.054;10.067;;;;
LOJA;111.183;893;54;32.970;;40.999;36.268;;;;
PICHINCHA;89.807;13.172;2.436;12.563;2.434;48.428;10.774;;;;
TUNGURAHUA;39.319;;14;10;;24.478;14.816;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;99.334;39.972;732;8.967;23.522;20.989;5.152;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;149.618;6.058;768;70.583;17.855;26.561;27.793;;;;
ESMERALDAS;210.935;31.294;3.736;;100.529;66.258;9.117;;;;
GUAYAS;104.718;2.569;20;518;56.695;11.362;33.554;;;;
LOS RÍOS;38.786;3.801;167;189;12.716;13.050;8.863;;;;
MANABÍ;716.688;22.442;1;;647.096;34.432;12.718;;;;
SANTA ELENA;832;;;;768;;65;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;129.179;598;64.128;;;53.673;10.781;;;;
NAPO;27.074;;6.770;5.125;54;6.268;8.856;;;;
ORELLANA;55.328;;1;;4.331;37.147;13.850;;;;
PASTAZA;24.090;;22.206;10;;1.346;528;;;;
SUCUMBÍOS;87.235;176;2.268;350;18.824;36.979;28.639;;;;
ZAMORA CHINCHIPE;81.207;4.410;9.970;;;40.475;26.351;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;
