;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE;;;
;; Plantada ; Cosechada ;;;;;;;
TOTAL NACIONAL;; 225.575 ; 152.529 ; 2.418.855 ; 2.123.481 ;;;;;
REGIÓN SIERRA;; 29.682 ; 17.673 ; 150.455 ; 150.455 ;;;;;
REGIÓN COSTA;; 159.991 ; 109.999 ; 1.840.719 ; 1.808.136 ;;;;;
REGIÓN AMAZÓNICA;; 35.903 ; 24.858 ; 427.681 ; 164.890 ;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;;;;;;;;;
;Asociado;;;;;;;;;
BOLÍVAR;Solo; 351 ; 347 ; 8.665 ; 8.665 ;;;;;
;Asociado;;;;;;;;;
CAÑAR;Solo;;;;;;;;;
;Asociado;;;;;;;;;
CARCHI;Solo;;;;;;;;;
;Asociado;;;;;;;;;
COTOPAXI;Solo; 737 ; 737 ; 10.195 ; 10.195 ;;;;;
;Asociado;;;;;;;;;
CHIMBORAZO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
IMBABURA;Solo; 393 ; 29 ; 150 ; 150 ;;;;;
;Asociado; 97 ; 10 ; 38 ; 38 ;;;;;
LOJA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
PICHINCHA;Solo; 7.121 ; 2.718 ; 10.011 ; 10.011 ;;;;;
;Asociado; 4.511 ; 2.189 ; 6.010 ; 6.010 ;;;;;
TUNGURAHUA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 12.490 ; 9.456 ; 91.621 ; 91.621 ;;;;;
;Asociado; 3.981 ; 2.186 ; 23.765 ; 23.765 ;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ESMERALDAS;Solo; 83.560 ; 42.755 ; 678.335 ; 645.752 ;;;;;
;Asociado; 1.720 ; 145 ; 2.738 ; 2.738 ;;;;;
GUAYAS;Solo; 16.268 ; 14.331 ; 257.976 ; 257.976 ;;;;;
;Asociado;;;;;;;;;
LOS RÍOS;Solo; 47.273 ; 44.077 ; 817.503 ; 817.503 ;;;;;
;Asociado; 204 ; 121 ; 3.204 ; 3.204 ;;;;;
MANABÍ;Solo; 9.653 ; 7.258 ; 68.366 ; 68.366 ;;;;;
;Asociado; 1.312 ; 1.312 ; 12.598 ; 12.598 ;;;;;
SANTA ELENA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
NAPO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ORELLANA;Solo; 11.258 ; 6.361 ; 68.902 ; 20.049 ;;;;;
;Asociado; 90 ;;;;;;;;
PASTAZA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo; 24.125 ; 18.228 ; 357.888 ; 143.949 ;;;;;
;Asociado; 430 ; 269 ; 892 ; 892 ;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;
