;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 13.922 ; 9.437 ; 65.195 ; 64.102 ;;
REGIÓN SIERRA;; 2.225 ; 1.755 ; 9.832 ; 9.796 ;;
REGIÓN COSTA;; 11.670 ; 7.681 ; 55.363 ; 54.306 ;;
REGIÓN AMAZÓNICA;; 26 ;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 103 ; 103 ; 257 ; 256 ;;
;Asociado;;;;;;
BOLÍVAR;Solo;;;;;;
;Asociado;;;;;;
CAÑAR;Solo; 43 ; 43 ; 58 ; 58 ;;
;Asociado;;;;;;
CARCHI;Solo; 34 ; 34 ; 927 ; 927 ;;
;Asociado;;;;;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 16 ; 11 ; 4 ; 4 ;;
;Asociado; 110 ; 96 ; 1.495 ; 1.495 ;;
IMBABURA;Solo; 48 ; 34 ; 134 ; 134 ;;
;Asociado; 25 ; 25 ; 146 ; 146 ;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo; 173 ; 69 ; 178 ; 178 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 1.092 ; 819 ; 4.644 ; 4.611 ;;
;Asociado; 582 ; 522 ; 1.986 ; 1.986 ;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 169 ; 138 ; 1.279 ; 1.266 ;;
;Asociado;;;;;;
ESMERALDAS;Solo; 4.289 ; 2.310 ; 17.248 ; 16.637 ;;
;Asociado; 2.549 ; 1.255 ; 10.543 ; 10.542 ;;
GUAYAS;Solo; 306 ; 238 ; 782 ; 780 ;;
;Asociado; 160 ; 58 ; 129 ; 128 ;;
LOS RÍOS;Solo; 521 ; 438 ; 2.285 ; 2.280 ;;
;Asociado; 305 ; 305 ; 5.808 ; 5.808 ;;
MANABÍ;Solo; 3.050 ; 2.656 ; 16.143 ; 15.727 ;;
;Asociado; 204 ; 169 ; 698 ; 692 ;;
SANTA ELENA;Solo; 117 ; 115 ; 448 ; 444 ;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo; 26 ;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
