;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 34.931 ; 29.481 ; 4.917 ; 4.731 ;;
REGIÓN SIERRA;; 5.707 ; 4.401 ; 824 ; 682 ;;
REGIÓN COSTA;; 11.733 ; 10.214 ; 1.663 ; 1.632 ;;
REGIÓN AMAZÓNICA;; 17.491 ; 14.866 ; 2.430 ; 2.417 ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 77 ; 64 ; 12 ; 12 ;;
;Asociado; 78 ; 78 ; 4 ; 1 ;;
BOLÍVAR;Solo; 196 ; 163 ; 4 ; 4 ;;
;Asociado; 204 ; 204 ; 6 ; 6 ;;
CAÑAR;Solo; 1 ; 1 ; 0 ;;;
;Asociado;;;;;;
CARCHI;Solo; 152 ; 150 ; 147 ; 147 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 54 ; 54 ; 17 ; 17 ;;
;Asociado; 78 ; 78 ; 25 ; 25 ;;
CHIMBORAZO;Solo; 22 ;;;;;
;Asociado; 122 ; 17 ; 1 ; 1 ;;
IMBABURA;Solo; 207 ; 115 ; 51 ; 50 ;;
;Asociado; 198 ; 198 ; 45 ; 45 ;;
LOJA;Solo; 1.779 ; 1.106 ; 221 ; 154 ;;
;Asociado; 1.752 ; 1.529 ; 137 ; 73 ;;
PICHINCHA;Solo; 151 ; 149 ; 83 ; 77 ;;
;Asociado; 135 ; 135 ; 20 ; 20 ;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 328 ; 187 ; 36 ; 36 ;;
;Asociado; 173 ; 173 ; 15 ; 15 ;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 1.005 ; 979 ; 141 ; 132 ;;
;Asociado; 17 ; 17 ; 9 ; 9 ;;
ESMERALDAS;Solo; 2 ; 2 ; 0 ; 0 ;;
;Asociado;;;;;;
GUAYAS;Solo; 180 ; 35 ; 22 ; 22 ;;
;Asociado; 20 ; 20 ; 8 ; 8 ;;
LOS RÍOS;Solo; 76 ; 26 ; 2 ; 2 ;;
;Asociado; 616 ; 88 ; 5 ; 5 ;;
MANABÍ;Solo; 8.869 ; 8.111 ; 1.331 ; 1.311 ;;
;Asociado; 904 ; 892 ; 128 ; 125 ;;
SANTA ELENA;Solo; 43 ; 43 ; 18 ; 18 ;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo; 417 ; 325 ; 51 ; 51 ;;
;Asociado;;;;;;
NAPO;Solo; 3.197 ; 2.183 ; 259 ; 259 ;;
;Asociado; 560 ; 560 ; 21 ; 21 ;;
ORELLANA;Solo; 3.791 ; 3.343 ; 302 ; 302 ;;
;Asociado; 390 ; 390 ; 19 ; 19 ;;
PASTAZA;Solo; 20 ; 13 ; 1 ; 1 ;;
;Asociado;;;;;;
SUCUMBÍOS;Solo; 7.547 ; 6.762 ; 1.585 ; 1.575 ;;
;Asociado; 976 ; 804 ; 93 ; 93 ;;
ZAMORA CHINCHIPE;Solo; 579 ; 485 ; 98 ; 95 ;;
;Asociado; 14 ;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
