;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 21.087 ; 19.791 ; 299.195 ; 65.449 ;;
REGIÓN SIERRA;; 12.178 ; 11.326 ; 207.522 ; 14.914 ;;
REGIÓN COSTA;; 3.038 ; 2.887 ; 30.613 ; 10.087 ;;
REGIÓN AMAZÓNICA;; 5.872 ; 5.578 ; 61.060 ; 40.448 ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 516 ; 510 ; 11.128 ; 833 ;;
;Asociado;;;;;;
BOLÍVAR;Solo; 1.932 ; 1.809 ; 37.858 ;;;
;Asociado;;;;;;
CAÑAR;Solo; 2.122 ; 2.122 ; 26.603 ; 2.039 ;;
;Asociado;;;;;;
CARCHI;Solo; 142 ; 76 ; 820 ;;;
;Asociado;;;;;;
COTOPAXI;Solo; 3.890 ; 3.607 ; 48.134 ; 404 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 52 ; 52 ; 4.471 ; 3.544 ;;
;Asociado;;;;;;
IMBABURA;Solo; 810 ; 750 ; 27.739 ; 1.489 ;;
;Asociado;;;;;;
LOJA;Solo; 984 ; 886 ; 19.053 ; 25 ;;
;Asociado;;;;;;
PICHINCHA;Solo; 1.488 ; 1.420 ; 30.895 ; 6.581 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 240 ; 93 ; 822 ;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 1.622 ; 1.509 ; 15.182 ; 4.421 ;;
;Asociado;;;;;;
ESMERALDAS;Solo; 124 ; 124 ; 517 ; 350 ;;
;Asociado;;;;;;
GUAYAS;Solo; 4 ;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo; 22 ; 22 ; 275 ;;;
;Asociado;;;;;;
MANABÍ;Solo; 1.266 ; 1.231 ; 14.638 ; 5.315 ;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo; 2.412 ; 2.216 ; 30.715 ; 29.454 ;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo; 0 ; 0 ; 8 ;;;
;Asociado;;;;;;
PASTAZA;Solo; 529 ; 514 ; 1.484 ; 18 ;;
;Asociado;;;;;;
SUCUMBÍOS;Solo; 1.619 ; 1.557 ; 14.999 ; 8.808 ;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo; 1.311 ; 1.291 ; 13.854 ; 2.169 ;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
