;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;
TOTAL NACIONAL;24.794;6.867;3.147;1.961;1.759;17.926;2.422;3.080;12.424;;;;;
REGIÓN SIERRA;12.423;4.430;1.934;1.184;1.312;7.992;1.332;1.660;5.000;;;;;
REGIÓN COSTA;11.865;2.198;1.102;747;349;9.667;1.091;1.403;7.174;;;;;
REGIÓN AMAZÓNICA;506;239;112;29;98;267;;16;251;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY;1.813;476;9;50;417;1.337;16;148;1.174;;;;;
BOLÍVAR;1.513;718;387;272;59;795;242;11;542;;;;;
CAÑAR;345;114;50;6;58;231;6;5;221;;;;;
CARCHI;378;157;26;94;37;222;;104;118;;;;;
COTOPAXI;1.299;340;257;;83;959;54;291;614;;;;;
CHIMBORAZO;1.377;545;115;214;216;832;151;247;434;;;;;
IMBABURA;789;461;130;237;94;328;136;109;83;;;;;
LOJA;477;134;125;9;;344;217;125;1;;;;;
PICHINCHA;1.854;587;285;155;147;1.267;318;371;578;;;;;
TUNGURAHUA;1.518;590;293;100;197;928;51;172;706;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;1.059;309;257;49;3;749;141;77;531;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO;723;187;50;94;43;535;296;2;238;;;;;
ESMERALDAS;4.534;474;115;250;109;4.060;39;298;3.724;;;;;
GUAYAS;1.122;320;257;61;2;802;197;417;188;;;;;
LOS RÍOS;494;155;72;3;81;339;88;10;241;;;;;
MANABÍ;4.992;1.062;608;339;114;3.930;471;677;2.782;;;;;
SANTA ELENA;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO;107;;;;;107;;;107;;;;;
NAPO;6;;;;;6;;3;3;;;;;
ORELLANA;;;;;;;;;;;;;;
PASTAZA;;;;;;;;;;;;;;
SUCUMBÍOS;283;142;101;29;12;141;;6;134;;;;;
ZAMORA CHINCHIPE;110;97;11;;86;13;;7;7;;;;;
;;;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;;;;;
