;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Tamaño de Unidad de Producción Agropecuaria;SEXO;;;ÍNDICE;;;
;HOMBRES;MUJERES;;;;;
;;;;;;;
De 20 hectáreas a menos de 50 hectáreas;50,1%;21,3%;17,0%;1,6%;9,9%;0,0%;
De 50 hectáreas a menos de 100 hectáreas;42,2%;21,4%;26,5%;2,4%;7,5%;0,0%;
De 100 hectáreas a menos de 200 hectáreas;27,3%;24,1%;38,2%;5,0%;5,4%;0,0%;
Mayor a 200 hectáreas;17,7%;23,9%;47,4%;6,3%;4,7%;0,0%;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
;;;;;;;
;;;;;;;
Tamaño de Unidad de Producción Agropecuaria;AUTOIDENTIFICACIÓN ÉTNICA;;;;;;
;INDÍGENA;AFROECUATORIANO;MONTUBIO;MESTIZO;BLANCO;OTRO;IGNORADO
;;;;;;;
TOTAL NACIONAL;19,1%;1,2%;11,2%;66,2%;1,5%;0,8%;0,0%
;;;;;;;
Menor a 1 hectárea;34,6%;0,8%;3,5%;60,2%;0,2%;0,6%;0,0%
De 1 hectárea a menos de 2 hectáreas;26,2%;1,1%;11,4%;60,2%;0,6%;0,5%;0,0%
De 2 hectáreas a menos de 3 hectáreas;21,8%;1,8%;14,8%;59,9%;0,9%;0,7%;0,0%
De 3 hectáreas a menos de 5 hectáreas;15,5%;1,3%;17,0%;64,1%;1,6%;0,6%;0,0%
De 5 hectáreas a menos de 10 hectáreas;12,5%;1,1%;15,5%;69,3%;1,1%;0,5%;0,0%
De 10 hectáreas a menos de 20 hectáreas;10,1%;1,4%;15,1%;71,0%;1,7%;0,8%;0,0%
De 20 hectáreas a menos de 50 hectáreas;11,1%;1,8%;14,1%;69,5%;2,6%;0,9%;0,0%
De 50 hectáreas a menos de 100 hectáreas;6,2%;1,7%;9,7%;77,8%;3,5%;1,1%;0,0%
De 100 hectáreas a menos de 200 hectáreas;3,3%;1,2%;8,3%;80,6%;4,6%;1,8%;0,1%
Mayor a 200 hectáreas;2,6%;0,9%;7,0%;81,2%;5,1%;3,2%;0,0%
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
;;;;;;;
;;;;;;;
Tamaño de Unidad de Producción Agropecuaria;EDAD;;;;;;
; Entre 15 y 24 años;Entre 25 y 34 años; Entre 35 y 44años;Entre 45 y 64 años;65 años y más; No informa;
;;;;;;;
TOTAL NACIONAL;1,0%;5,8%;14,8%;45,5%;31,5%;1,4%;
;;;;;;;
Menor a 1 hectárea;1,4%;7,9%;16,7%;44,0%;28,4%;1,6%;
De 1 hectárea a menos de 2 hectáreas;1,4%;7,3%;16,1%;44,2%;29,9%;1,2%;
De 2 hectáreas a menos de 3 hectáreas;1,3%;6,5%;14,8%;46,7%;29,4%;1,2%;
De 3 hectáreas a menos de 5 hectáreas;1,1%;5,6%;16,2%;45,7%;30,2%;1,3%;
De 5 hectáreas a menos de 10 hectáreas;0,8%;4,9%;14,5%;46,7%;32,3%;0,9%;
De 10 hectáreas a menos de 20 hectáreas;0,5%;4,8%;13,6%;46,5%;33,6%;1,1%;
De 20 hectáreas a menos de 50 hectáreas;0,3%;4,1%;12,4%;47,9%;34,1%;1,2%;
De 50 hectáreas a menos de 100 hectáreas;0,4%;3,3%;12,5%;44,7%;37,8%;1,3%;
De 100 hectáreas a menos de 200 hectáreas;0,3%;3,4%;11,1%;47,0%;35,6%;2,5%;
Mayor a 200 hectáreas;0,4%;2,8%;12,1%;43,7%;36,8%;4,2%;
;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
