;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Región y Provincia;TOTAL;AVES CRIADAS EN CAMPO;;;;;ÍNDICE;;;
;;Gallos y gallinas;Pollitos, Pollitas, Pollos, Pollas;Patos;Pavos;;;;;
TOTAL NACIONAL;5.647.100;2.844.616;2.423.448;351.803;27.234;;;;;
REGIÓN SIERRA;2.235.077;1.270.455;881.237;74.617;8.768;;;;;
REGIÓN COSTA;2.703.043;1.213.003;1.246.910;227.900;15.230;;;;;
REGIÓN AMAZÓNICA;708.684;361.012;295.170;49.272;3.230;;;;;
ZONA NO DELIMITADA;296;145;131;13;6;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;371.094;205.140;154.265;10.676;1.014;;;;;
BOLÍVAR;244.695;132.416;101.578;9.252;1.449;;;;;
CAÑAR;196.638;121.505;69.347;5.278;507;;;;;
CARCHI;32.900;19.768;12.302;831;;;;;;
COTOPAXI;272.579;156.333;98.038;16.450;1.758;;;;;
CHIMBORAZO;207.612;125.343;73.327;8.324;618;;;;;
IMBABURA;91.108;53.466;33.796;3.526;320;;;;;
LOJA;360.976;200.061;152.658;7.753;504;;;;;
PICHINCHA;159.696;87.692;66.778;4.165;1.062;;;;;
TUNGURAHUA;166.321;102.181;59.324;3.559;1.257;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;131.458;66.551;59.825;4.803;279;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;93.971;50.269;40.049;3.653;;;;;;
ESMERALDAS;310.988;153.773;137.957;18.084;1.174;;;;;
GUAYAS;571.753;243.055;245.072;79.989;3.638;;;;;
LOS RÍOS;515.773;243.822;221.034;47.478;3.439;;;;;
MANABÍ;1.210.493;522.041;602.788;78.685;6.980;;;;;
SANTA ELENA;66;43;11;12;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;113.520;55.404;45.272;12.042;802;;;;;
NAPO;79.945;33.579;45.033;1.333;;;;;;
ORELLANA;159.681;92.693;56.550;9.952;486;;;;;
PASTAZA;58.996;34.708;16.289;8.000;;;;;;
SUCUMBÍOS;253.280;120.720;114.674;15.943;1.942;;;;;
ZAMORA CHINCHIPE;43.262;23.908;17.352;2.002;;;;;;
;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;
ZONA NO DELIMITADA;296;145;131;13;6;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;
