CULTIVOS TRANSITORIOS;;SUPERFICIE SEMBRADA (Has.);;;;;;;;;ÍNDICE
;;TIPO DE SEMILLA UTILIZADA;;;;;PRÁCTICA DE CULTIVO;;;;
;;Común;Mejorada;Certificada;Híbrida Nacional;Híbrida Internacional;Riego;Aplicación de Fertilizantes;Aplicación de Fitosanitarios;;
TOTAL NACIONAL;Solo; 329.057 ; 348.095 ; 196.199 ; 15.859 ; 16.935 ; 387.129 ; 831.502 ; 795.804 ;;
;Asociado; 28.005 ; 4.659 ; 1.464 ; 444 ;; 3.681 ; 23.899 ; 12.115 ;;
;;;;;;;;;;;
ARROZ (EN CÁSCARA);Solo; 149.029 ; 162.919 ; 41.230 ; 436 ; 4.617 ; 270.510 ; 354.413 ; 352.597 ;;
;Asociado;;;;;;;;;;
ARVEJA SECA (GRANO SECO);Solo; 1.090 ; 197 ;;;; 329 ; 1.037 ; 418 ;;
;Asociado; 60 ; 34 ;;;; 15 ; 71 ; 0 ;;
ARVEJA TIERNA (EN VAINA);Solo; 1.931 ; 504 ; 21 ;;; 1.439 ; 1.743 ; 1.506 ;;
;Asociado; 261 ; 4 ; 13 ;;; 95 ; 199 ; 28 ;;
BROCOLI (REPOLLO);Solo; 201 ; 2.952 ; 448 ;; 6.242 ; 9.786 ; 9.830 ; 9.736 ;;
;Asociado;; 24 ;;;; 24 ; 24 ; 24 ;;
CEBADA (GRANO SECO);Solo; 5.295 ; 1.035 ; 314 ;; 33 ; 923 ; 3.620 ; 2.502 ;;
;Asociado;;;;;;;;;;
CEBOLLA BLANCA (TALLO FRESCO);Solo; 2.860 ; 1.327 ; 49 ;;; 1.831 ; 3.198 ; 1.308 ;;
;Asociado;;;;;;;;;;
FRÉJOL SECO (GRANO SECO);Solo; 12.421 ; 1.520 ;;;; 2.448 ; 9.520 ; 11.106 ;;
;Asociado; 8.114 ; 684 ;; 10 ;; 931 ; 6.121 ; 2.644 ;;
FRÉJOL TIERNO (EN VAINA);Solo; 3.672 ; 1.169 ; 1 ;;; 2.648 ; 3.074 ; 3.666 ;;
;Asociado; 3.198 ; 457 ; 16 ;;; 529 ; 2.778 ; 1.741 ;;
HABA SECA (GRANO SECO);Solo; 1.024 ; 6 ;;;; 246 ; 602 ; 536 ;;
;Asociado; 1.485 ; 141 ;;;; 78 ; 1.220 ; 277 ;;
HABA TIERNA (EN VAINA);Solo; 3.325 ; 674 ;;;; 1.398 ; 3.162 ; 2.768 ;;
;Asociado; 775 ; 318 ;;;; 90 ; 781 ; 29 ;;
MAÍZ DURO CHOCLO (EN CHOCLO);Solo; 588 ; 2.440 ; 958 ; 1.212 ; 129 ; 4.492 ; 3.611 ; 3.680 ;;
;Asociado; 130 ;; 40 ;;; 107 ; 144 ; 114 ;;
MAÍZ DURO SECO (GRANO SECO);Solo; 39.246 ; 141.154 ; 141.521 ; 12.127 ; 5.549 ; 44.518 ; 322.578 ; 307.730 ;;
;Asociado; 1.299 ; 1.675 ; 1.384 ; 317 ;; 250 ; 3.944 ; 4.091 ;;
MAÍZ SUAVE CHOCLO (EN CHOCLO);Solo; 12.184 ; 3.493 ; 78 ;;; 4.729 ; 13.019 ; 10.165 ;;
;Asociado; 1.218 ; 192 ; 12 ;;; 166 ; 1.009 ; 178 ;;
MAÍZ SUAVE SECO (GRANO SECO);Solo; 33.957 ; 4.201 ; 599 ; 1 ;; 4.163 ; 26.398 ; 17.904 ;;
;Asociado; 8.529 ; 734 ;;;; 1.088 ; 6.362 ; 1.983 ;;
MANÍ (GRANO DESCASCARADO);Solo; 2.368 ; 799 ; 256 ;;; 480 ; 1.694 ; 1.780 ;;
;Asociado; 298 ; 45 ;;;;; 343 ; 343 ;;
PAPA (TUBÉRCULO FRESCO);Solo; 14.407 ; 4.653 ; 693 ;;; 6.663 ; 18.499 ; 16.363 ;;
;Asociado; 66 ; 18 ;;;; 7 ; 68 ; 33 ;;
QUINUA (GRANO SECO);Solo; 492 ; 112 ;;;; 2 ; 180 ; 174 ;;
;Asociado; 1 ;;;;;; 1 ;;;
SOYA (GRANO SECO);Solo; 4.355 ; 4.120 ; 262 ;;; 954 ; 7.795 ; 6.890 ;;
;Asociado;;;;;;;;;;
TABACO (HOJA SECA);Solo; 5.317 ; 2.441 ; 5.053 ;;; 12.438 ; 12.438 ; 12.438 ;;
;Asociado;;;;;;;;;;
TOMATE RIÑÓN (FRUTA FRESCA);Solo; 262 ; 794 ; 82 ; 79 ; 84 ; 1.102 ; 1.281 ; 1.232 ;;
;Asociado;;;; 116 ;;; 116 ; 116 ;;
TRIGO (GRANO SECO);Solo; 2.311 ; 920 ;; 1.041 ;; 386 ; 3.489 ; 3.117 ;;
;Asociado;;;;;;;;;;
YUCA (RAÍZ FRESCA);Solo; 14.399 ; 901 ; 2.180 ;;; 401 ; 4.484 ; 6.070 ;;
;Asociado; 1.870 ; 308 ;;;; 123 ; 313 ; 335 ;;
OTROS TRANSITORIOS;Solo; 18.324 ; 9.765 ; 2.456 ; 964 ; 281 ; 15.244 ; 25.838 ; 22.118 ;;
;Asociado; 700 ; 23 ;;;; 176 ; 403 ; 176 ;;
;;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;;
