CULTIVOS TRANSITORIOS;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE;;
;; Sembrada ; Cosechada ;;;;;;
TOTAL NACIONAL;Solo; 906.146 ; 852.357 ;;;;;;
;Asociado; 34.571 ; 31.184 ;;;;;;
;;;;;;;;;
ARROZ (EN CÁSCARA);Solo; 358.231 ; 343.050 ; 1.636.349 ; 1.580.229 ;;;;
;Asociado;;;;;;;;
ARVEJA SECA (GRANO SECO);Solo; 1.286 ; 1.160 ; 517 ; 239 ;;;;
;Asociado; 94 ; 80 ; 34 ; 15 ;;;;
ARVEJA TIERNA (EN VAINA);Solo; 2.456 ; 2.218 ; 5.318 ; 5.005 ;;;;
;Asociado; 279 ; 267 ; 242 ; 150 ;;;;
BRÓCOLI (REPOLLO);Solo; 9.843 ; 9.825 ; 196.912 ; 196.502 ;;;;
;Asociado; 24 ; 24 ; 309 ; 309 ;;;;
CEBADA (GRANO SECO);Solo; 6.677 ; 5.920 ; 8.519 ; 6.660 ;;;;
;Asociado;;;;;;;;
CEBOLLA BLANCA (TALLO FRESCO);Solo; 4.235 ; 4.139 ; 10.210 ; 10.137 ;;;;
;Asociado;;;;;;;;
FRÉJOL SECO (GRANO SECO);Solo; 13.941 ; 11.591 ; 9.166 ; 8.426 ;;;;
;Asociado; 8.807 ; 8.062 ; 3.806 ; 1.921 ;;;;
FRÉJOL TIERNO (VAINA);Solo; 4.842 ; 4.114 ; 9.009 ; 8.711 ;;;;
;Asociado; 3.671 ; 3.351 ; 3.151 ; 2.370 ;;;;
HABA SECA (GRANO SECO);Solo; 1.030 ; 890 ; 934 ; 664 ;;;;
;Asociado; 1.627 ; 1.495 ; 524 ; 152 ;;;;
HABA TIERNA (VAINA);Solo; 3.999 ; 3.696 ; 17.093 ; 15.641 ;;;;
;Asociado; 1.093 ; 935 ; 684 ; 266 ;;;;
MAÍZ DURO CHOCLO (CHOCLO);Solo; 5.327 ; 5.312 ; 18.368 ; 17.932 ;;;;
;Asociado; 169 ; 164 ; 144 ; 75 ;;;;
MAÍZ DURO SECO (GRANO SECO);Solo; 339.597 ; 317.073 ; 1.398.393 ; 1.353.985 ;;;;
;Asociado; 4.675 ; 4.156 ; 14.989 ; 14.310 ;;;;
MAÍZ SUAVE CHOCLO (CHOCLO);Solo; 15.755 ; 14.670 ; 51.596 ; 45.701 ;;;;
;Asociado; 1.422 ; 1.279 ; 2.833 ; 1.007 ;;;;
MAÍZ SUAVE SECO (GRANO SECO);Solo; 38.758 ; 36.141 ; 43.674 ; 33.531 ;;;;
;Asociado; 9.263 ; 8.477 ; 5.815 ; 2.008 ;;;;
MANÍ (GRANO DESCASCARADO);Solo; 3.423 ; 3.293 ; 2.540 ; 2.156 ;;;;
;Asociado; 343 ; 155 ; 70 ; 70 ;;;;
PAPA (TUBÉRCULO FRESCO);Solo; 19.752 ; 17.923 ; 261.747 ; 244.553 ;;;;
;Asociado; 84 ; 74 ; 291 ; 186 ;;;;
QUINUA (GRANO SECO);Solo; 604 ; 457 ; 373 ; 304 ;;;;
;Asociado; 1 ; 1 ; 5 ; 4 ;;;;
SOYA (GRANO SECO);Solo; 8.737 ; 8.665 ; 13.112 ; 12.845 ;;;;
;Asociado;;;;;;;;
TABACO (HOJA SECA);Solo; 12.811 ; 12.658 ; 20.862 ; 20.862 ;;;;
;Asociado;;;;;;;;
TOMATE RIÑÓN (FRUTA FRESCA);Solo; 1.301 ; 1.249 ; 39.743 ; 39.452 ;;;;
;Asociado; 116 ; 116 ; 336 ; 336 ;;;;
TRIGO (GRANO SECO);Solo; 4.271 ; 4.035 ; 3.976 ; 3.295 ;;;;
;Asociado;;;;;;;;
YUCA (RAÍZ FRESCA);Solo; 17.479 ; 16.919 ; 112.083 ; 97.674 ;;;;
;Asociado; 2.179 ; 2.052 ; 7.348 ; 3.385 ;;;;
OTROS TRANSITORIOS;Solo; 31.790 ; 27.359 ;;;;;;
;Asociado; 723 ; 495 ;;;;;;
;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;
