;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;;18,022;17,697;146,300;130,449;;
REGIÓN SIERRA;;7,351;7,288;81,365;78,888;;
REGIÓN COSTA;;4,767;4,657;42,255;37,737;;
REGIÓN AMAZÓNICA;;5,904;5,751;22,680;13,824;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;34;34;51;29;;
;Asociado;71;71;34;17;;
BOLÍVAR;Solo;42;42;348;336;;
;Asociado;;;;;;
CAÑAR;Solo;303;303;422;218;;
;Asociado;;;;;;
CARCHI;Solo;134;134;254;135;;
;Asociado;;;;;;
COTOPAXI;Solo;244;244;1,160;1,094;;
;Asociado;;;;;;
CHIMBORAZO;Solo;72;72;291;252;;
;Asociado;23;14;59;48;;
IMBABURA;Solo;123;107;431;299;;
;Asociado;6;6;12;;;
LOJA;Solo;267;264;1,794;1,638;;
;Asociado;2;2;15;13;;
PICHINCHA;Solo;184;181;973;762;;
;Asociado;37;37;569;569;;
TUNGURAHUA;Solo;5;5;23;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;5,572;5,539;74,033;72,607;;
;Asociado;234;234;896;870;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;5;5;35;;;
;Asociado;;;;;;
ESMERALDAS;Solo;169;168;1,161;1,035;;
;Asociado;89;15;12;6;;
GUAYAS;Solo;295;295;1,753;1,693;;
;Asociado;;;;;;
LOS RÍOS;Solo;2,693;2,693;29,732;29,568;;
;Asociado;;;;;;
MANABÍ;Solo;1,067;1,064;6,809;3,413;;
;Asociado;447;416;2,749;2,021;;
SANTA ELENA;Solo;2;2;4;2;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;1,251;1,205;7,366;3,790;;
;Asociado;235;235;809;203;;
NAPO;Solo;1,745;1,733;6,507;6,191;;
;Asociado;;;;;;
ORELLANA;Solo;1,534;1,489;4,280;1,730;;
;Asociado;;;;;;
PASTAZA;Solo;417;417;836;164;;
;Asociado;2;2;12;;;
SUCUMBÍOS;Solo;703;658;2,811;1,714;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;18;12;58;32;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;
