;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;36,398;29,901;7,966;7,794;;
REGIÓN SIERRA;;8,571;6,563;2,130;2,011;;
REGIÓN COSTA;;12,230;10,732;2,368;2,338;;
REGIÓN AMAZÓNICA;;15,597;12,606;3,468;3,445;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;45;28;8;4;;
;Asociado;64;64;2;;;
BOLÍVAR;Solo;210;203;41;41;;
;Asociado;1,337;1,232;203;203;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;98;59;131;131;;
;Asociado;;;;;;
COTOPAXI;Solo;37;37;13;13;;
;Asociado;115;108;22;22;;
CHIMBORAZO;Solo;36;24;5;5;;
;Asociado;272;36;6;4;;
IMBABURA;Solo;248;214;110;104;;
;Asociado;168;145;42;42;;
LOJA;Solo;3,130;2,225;955;900;;
;Asociado;1,829;1,405;290;242;;
PICHINCHA;Solo;143;82;81;81;;
;Asociado;378;378;102;102;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;350;211;101;100;;
;Asociado;110;110;18;18;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;271;124;47;40;;
;Asociado;83;31;12;7;;
ESMERALDAS;Solo;195;129;14;14;;
;Asociado;164;;;;;
GUAYAS;Solo;227;85;48;48;;
;Asociado;16;;;;;
LOS RÍOS;Solo;209;209;76;76;;
;Asociado;180;24;15;15;;
MANABÍ;Solo;9,561;8,878;1,863;1,845;;
;Asociado;1,303;1,231;289;289;;
SANTA ELENA;Solo;22;22;5;5;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;93;93;19;19;;
;Asociado;;;;;;
NAPO;Solo;125;120;39;39;;
;Asociado;;;;;;
ORELLANA;Solo;7,202;6,023;1,671;1,653;;
;Asociado;121;36;13;13;;
PASTAZA;Solo;3;1;0;0;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;6,646;5,176;1,304;1,304;;
;Asociado;853;632;223;223;;
ZAMORA CHINCHIPE;Solo;542;514;197;195;;
;Asociado;12;12;3;;;
;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;
