;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;
TOTAL NACIONAL;206,856;129,780;56,882;61,261;11,636;77,076;23,141;24,153;29,782;;;;;
REGIÓN SIERRA;139,805;89,932;45,223;34,594;10,115;49,874;15,595;14,358;19,921;;;;;
REGIÓN COSTA;48,269;26,035;8,877;16,197;961;22,233;6,823;7,743;7,668;;;;;
REGIÓN AMAZÓNICA;18,782;13,813;2,782;10,471;560;4,969;724;2,051;2,194;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY;15,213;8,175;2,615;2,929;2,631;7,038;1,852;2,233;2,952;;;;;
BOLÍVAR;4,047;2,416;583;1,419;414;1,631;337;303;992;;;;;
CAÑAR;3,403;1,853;580;400;874;1,550;452;744;354;;;;;
CARCHI;9,676;5,711;1,735;3,183;793;3,965;1,517;1,391;1,056;;;;;
COTOPAXI;24,913;15,914;10,233;4,983;698;8,999;2,533;1,242;5,225;;;;;
CHIMBORAZO;16,428;9,325;6,016;2,683;626;7,103;2,317;2,279;2,506;;;;;
IMBABURA;11,549;8,755;2,598;5,480;676;2,794;1,567;865;363;;;;;
LOJA;2,348;1,108;369;522;218;1,239;295;360;584;;;;;
PICHINCHA;26,546;19,605;12,693;5,955;957;6,941;1,536;2,669;2,736;;;;;
TUNGURAHUA;17,659;11,931;5,802;4,332;1,797;5,728;2,609;1,418;1,701;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;8,024;5,138;1,999;2,708;430;2,886;579;855;1,452;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO;2,168;1,379;805;520;53;790;244;114;432;;;;;
ESMERALDAS;16,729;13,859;3,081;10,562;216;2,870;472;1,274;1,124;;;;;
GUAYAS;5,495;1,640;265;1,323;52;3,855;554;2,420;880;;;;;
LOS RÍOS;1,683;1,148;521;286;341;535;132;226;176;;;;;
MANABÍ;22,135;7,998;4,205;3,506;286;14,138;5,415;3,700;5,023;;;;;
SANTA ELENA;58;12;;;12;46;5;10;31;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO;1,989;1,118;149;568;401;871;7;382;483;;;;;
NAPO;2,219;1,963;399;1,489;75;256;9;222;25;;;;;
ORELLANA;7,133;5,728;258;5,470;;1,404;187;345;873;;;;;
PASTAZA;367;231;146;85;;135;;17;118;;;;;
SUCUMBÍOS;4,913;3,579;1,456;2,095;27;1,334;492;621;221;;;;;
ZAMORA CHINCHIPE;2,163;1,194;373;764;57;969;30;465;474;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;;;;
