;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Tamaño de Unidad de Producción Agropecuaria;SEXO;;;ÍNDICE;;;;;;;;;;;;;
;HOMBRES;MUJERES;;;;;;;;;;;;;;;
De 1 hectárea a menos de 2 hectáreas;23.5%;1.6%;11.0%;62.4%;0.9%;0.6%;0.1%;;;;;;;;;;
De 2 hectáreas a menos de 3 hectáreas;19.0%;1.2%;13.2%;65.0%;0.6%;0.9%;0.0%;;;;;;;;;;
De 3 hectáreas a menos de 5 hectáreas;15.3%;1.3%;13.6%;68.2%;1.0%;0.5%;0.0%;;;;;;;;;;
De 5 hectáreas a menos de 10 hectáreas;13.2%;1.3%;12.3%;71.2%;1.5%;0.5%;0.0%;;;;;;;;;;
De 10 hectáreas a menos de 20 hectáreas;10.1%;1.6%;13.1%;72.9%;1.9%;0.5%;0.0%;;;;;;;;;;
De 20 hectáreas a menos de 50 hectáreas;9.3%;1.9%;11.1%;74.3%;2.5%;0.8%;0.0%;;;;;;;;;;
De 50 hectáreas a menos de 100 hectáreas;7.2%;1.5%;9.9%;77.5%;3.1%;0.8%;0.0%;;;;;;;;;;
De 100 hectáreas a menos de 200 hectáreas;5.0%;1.3%;9.2%;78.8%;4.1%;1.5%;0.0%;;;;;;;;;;
Mayor a 200 hectáreas;2.7%;1.4%;6.8%;80.2%;6.1%;2.7%;0.0%;;;;;;;;;;
;;;;;;;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;EDAD;;;;;;;;;;;;;;;;
; Entre 15 y 24 años;Entre 25 y 34 años; Entre 35 y 44años;Entre 45 y 64 años;65 años y más; No informa;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
