;;;;;;;;;;ÍNDICE
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TABLA 72.1;;;;;;;;;;
PRODUCTORES QUE HAN SIDO AFECTADOS POR LA MOVILIZACIONES EN LAS ACTIVIDADES AGROPECUARIAS;;;;;;;;;;
(Porcentaje);;;;;;;;;;
;;;;;;;;;;
Afectación por el Paro Nacional;SI;NO;;;ÍNDICE;;;;;
;34.5%;65.5%;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Dificultad presentada;SI;NO;;;;;;;;
Pérdida de producción;53.1%;46.9%;;;;;;;;
Dificultad para contratar mano de obra;10.2%;89.8%;;;;;;;;
Daños en las instalaciones;2.9%;97.1%;;;;;;;;
Problemas para comercializar por vías obstaculizadas;79.0%;21.0%;;;;;;;;
Problemas para vender, comercializar sus productos por falta de transporte;76.4%;23.6%;;;;;;;;
Dificultad para adquirir insumos;47.0%;53.0%;;;;;;;;
Dificultad para trabajar en sus terrenos;19.9%;80.1%;;;;;;;;
Dificultad para ofrecer trabajo en otras fincas;8.5%;91.5%;;;;;;;;
Problemas para comercializar por ausencia de compradores;52.3%;47.7%;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Dificultad presentada;SI;NO;;;;;;;;
Ministerio de Agricultura y Ganadería;0.3%;99.7%;;;;;;;;
Secretaria de Gestión de Riesgos;0.1%;99.9%;;;;;;;;
Gobierno Central;0.2%;99.8%;;;;;;;;
Gobierno Autónomo Descentralizado Municipal;0.3%;99.7%;;;;;;;;
Gobierno Autónomo Descentralizado Provincial;0.2%;99.8%;;;;;;;;
Organización no Gubernamental;0.0%;100.0%;;;;;;;;
Otro;0.1%;99.9%;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
