;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Región y Provincia;TOTAL;GANADO PORCINO;;;;ÍNDICE;;;
;;De Raza;Mestizo;Criollo;;;;;
TOTAL NACIONAL;943,249;436,996;225,653;280,600;;;;;
REGIÓN SIERRA;601,650;276,967;142,748;181,935;;;;;
REGIÓN COSTA;307,964;146,568;71,338;90,058;;;;;
REGIÓN AMAZÓNICA;33,635;13,462;11,567;8,606;;;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
AZUAY;43,425;14,376;12,033;17,016;;;;;
BOLÍVAR;40,552;14,539;8,470;17,543;;;;;
CAÑAR;17,200;6,465;5,589;5,146;;;;;
CARCHI;44,499;42,566;850;1,083;;;;;
COTOPAXI;107,283;27,543;43,083;36,656;;;;;
CHIMBORAZO;73,627;18,066;20,026;35,535;;;;;
IMBABURA;33,941;20,802;7,524;5,615;;;;;
LOJA;28,651;5,552;5,393;17,706;;;;;
PICHINCHA;46,012;17,785;13,852;14,375;;;;;
TUNGURAHUA;54,022;10,156;19,329;24,537;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;112,438;99,117;6,598;6,723;;;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
EL ORO;31,887;20,960;6,012;4,914;;;;;
ESMERALDAS;31,950;12,448;9,388;10,115;;;;;
GUAYAS;105,828;66,719;15,988;23,121;;;;;
LOS RÍOS;30,945;13,598;5,612;11,735;;;;;
MANABÍ;95,521;28,186;27,258;40,076;;;;;
SANTA ELENA;11,834;4,657;7,080;97;;;;;
;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;
MORONA SANTIAGO;9,470;3,821;3,146;2,503;;;;;
NAPO;4,700;2,877;1,023;801;;;;;
ORELLANA;4,486;523;3,038;925;;;;;
PASTAZA;2,441;591;1,761;89;;;;;
SUCUMBÍOS;9,647;3,878;2,060;3,709;;;;;
ZAMORA CHINCHIPE;2,891;1,771;540;580;;;;;
;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;
