;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Región y Provincia;Pollos de engorde;;;ÍNDICE;;;;
;;;;;;;;
TOTAL NACIONAL;256.612.515;;;;;;;
REGIÓN SIERRA;141.461.284;;;;;;;
REGIÓN COSTA;107.455.938;;;;;;;
REGIÓN AMAZÓNICA;7.695.292;;;;;;;
;;;;;;;;
REGIÓN SIERRA;;;;;;;;
AZUAY;782.238;;;;;;;
BOLÍVAR;825;;;;;;;
CAÑAR;3.493.160;;;;;;;
CARCHI;5.073.303;;;;;;;
COTOPAXI;3.331.641;;;;;;;
CHIMBORAZO;28.303.752;;;;;;;
IMBABURA;13.172.534;;;;;;;
LOJA;3.032.114;;;;;;;
PICHINCHA;38.234.704;;;;;;;
TUNGURAHUA;3.524.647;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;42.512.366;;;;;;;
;;;;;;;;
REGIÓN COSTA;;;;;;;;
EL ORO;10.517.492;;;;;;;
ESMERALDAS;2.063;;;;;;;
GUAYAS;78.255.011;;;;;;;
LOS RÍOS;3.364.036;;;;;;;
MANABÍ;14.388.820;;;;;;;
SANTA ELENA;928.515;;;;;;;
;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;
MORONA SANTIAGO;165.929;;;;;;;
NAPO;997;;;;;;;
ORELLANA;18.398;;;;;;;
PASTAZA;7.503.434;;;;;;;
SUCUMBÍOS;;;;;;;;
ZAMORA CHINCHIPE;6.534;;;;;;;
;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;
