;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;TOTAL;SUPERFICIE PLANTADA (Has.);;;;;;;ÍNDICE;;
;;BRACHIARIA;GRAMALOTE;PASTO MIEL ;SABOYA;PASTO MIXTO;OTROS PASTOS CULTIVADOS;;;;
TOTAL NACIONAL;2,325,499;164,515;111,824;174,276;773,806;754,619;346,459;;;;
REGIÓN SIERRA;826,504;70,125;7,406;106,957;42,696;410,780;188,540;;;;
REGIÓN COSTA;1,120,158;90,065;7,746;58,551;704,807;182,583;76,406;;;;
REGIÓN AMAZÓNICA;378,837;4,326;96,672;8,768;26,303;161,256;81,513;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;105,268;74;145;286;551;73,795;30,416;;;;
BOLÍVAR;113,756;9,105;86;21,740;11,822;33,024;37,981;;;;
CAÑAR;40,925;3,400;233;;;29,615;7,677;;;;
CARCHI;27,567;980;3,418;628;;15,269;7,271;;;;
COTOPAXI;77,158;502;;10,169;3,627;39,155;23,705;;;;
CHIMBORAZO;60,265;494;207;226;3,874;41,028;14,436;;;;
IMBABURA;40,156;495;1,259;11,666;3,884;14,749;8,103;;;;
LOJA;117,266;923;73;37,162;137;46,893;32,079;;;;
PICHINCHA;112,546;19,619;1,550;15,310;3,529;59,774;12,764;;;;
TUNGURAHUA;38,569;;43;287;;28,027;10,212;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;93,028;34,533;393;9,484;15,272;29,452;3,895;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;107,152;7,040;;58,137;4,302;20,650;17,023;;;;
ESMERALDAS;214,498;41,454;5,159;77;86,659;70,578;10,571;;;;
GUAYAS;114,815;3,736;1,611;96;51,246;33,079;25,048;;;;
LOS RÍOS;43,702;4,414;584;241;18,107;10,643;9,712;;;;
MANABÍ;638,483;33,421;392;;544,378;46,274;14,018;;;;
SANTA ELENA;1,506;;;;112;1,360;34;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;132,308;2,753;66,741;883;;43,936;17,994;;;;
NAPO;19,271;;1,027;6,946;;9,879;1,419;;;;
ORELLANA;59,205;382;237;;13,404;41,895;3,287;;;;
PASTAZA;38,043;;22,130;;;10,478;5,435;;;;
SUCUMBÍOS;75,009;;1,938;938;12,899;30,617;28,618;;;;
ZAMORA CHINCHIPE;55,002;1,190;4,600;;;24,451;24,760;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;
