;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Región y Provincia;NÚMERO TOTAL DE CABEZAS (Machos y Hembras);;;;;;;;ÍNDICE;;;
;Vacuno;Porcino ;Ovino;Asnal;Caballar;Mular ;Caprino;;;;;
TOTAL NACIONAL;3,860,493;943,249;551,960;33,167;155,407;61,914;23,789;;;;;
REGIÓN SIERRA;2,044,972;601,650;517,346;25,540;76,913;15,105;21,204;;;;;
REGIÓN COSTA;1,488,274;307,964;33,500;7,093;64,684;44,032;1,885;;;;;
REGIÓN AMAZÓNICA;327,247;33,635;1,114;534;13,811;2,778;700;;;;;
;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;
AZUAY;286,315;43,425;64,354;741;17,832;1,211;750;;;;;
BOLÍVAR;137,265;40,552;18,781;928;4,440;4,011;63;;;;;
CAÑAR;113,495;17,200;21,820;330;4,315;283;53;;;;;
CARCHI;85,209;44,499;677;14;3,007;119;74;;;;;
COTOPAXI;256,305;107,283;111,011;3,855;6,278;1,992;746;;;;;
CHIMBORAZO;285,009;73,627;121,043;11,251;6,666;716;188;;;;;
IMBABURA;100,933;33,941;7,063;819;5,969;709;295;;;;;
LOJA;174,829;28,651;41,017;3,377;8,520;2,659;18,300;;;;;
PICHINCHA;306,117;46,012;42,851;696;13,043;1,239;405;;;;;
TUNGURAHUA;185,806;54,022;88,496;3,313;4,692;312;265;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;113,689;112,438;233;215;2,151;1,854;66;;;;;
;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;
EL ORO;140,254;31,887;10,357;225;5,072;1,923;326;;;;;
ESMERALDAS;251,000;31,950;2,204;717;18,976;10,903;72;;;;;
GUAYAS;222,624;105,828;18,397;925;14,707;2,605;92;;;;;
LOS RÍOS;66,324;30,945;592;360;5,636;1,336;530;;;;;
MANABÍ;805,455;95,521;1,516;4,851;20,221;27,238;484;;;;;
SANTA ELENA;2,618;11,834;436;16;71;26;380;;;;;
;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;
MORONA SANTIAGO;91,595;9,470;453;54;6,267;659;71;;;;;
NAPO;25,982;4,700;117;15;249;15;;;;;;
ORELLANA;47,332;4,486;76;27;1,732;994;555;;;;;
PASTAZA;15,501;2,441;;;874;4;;;;;;
SUCUMBÍOS;93,994;9,647;82;324;3,319;938;73;;;;;
ZAMORA CHINCHIPE;52,843;2,891;386;115;1,369;167;;;;;;
;;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;;
