;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
CULTIVOS PERMANENTES;;SUPERFICIE PLANTADA (Has.);;;;;;;;;;;ÍNDICE;
;;EDAD DE LA PLANTACIÓN;;;TIPO SE SEMILLA UTILIZADA;;;;PRÁCTICA DE CULTIVO;;;;;
;;Menos de 10 años;De 10 a menos de 20 años;De 20 años y más;Común;Mejorada;Híbrida Nacional;Híbrida Internacional;Riego;Aplicación de Fertilizantes;Aplicación de Fitosanitarios;;;
TOTAL NACIONAL;Solo; 716,238 ; 284,681 ; 291,022 ; 500,465 ; 645,125 ; 124,273 ; 22,078 ; 536,915 ; 763,998 ; 842,223 ;;;
;Asociado; 89,073 ; 31,563 ; 20,378 ; 57,266 ; 78,185 ; 5,403 ; 159 ; 27,752 ; 64,802 ; 80,227 ;;;
;;;;;;;;;;;;;;
AGUACATE (FRUTA FRESCA);Solo; 3,742 ; 1,325 ; 557 ; 1,461 ; 4,013 ; 129 ; 20 ; 4,966 ; 4,540 ; 4,535 ;;;
;Asociado; 601 ; 50 ; 28 ; 133 ; 547 ;;; 667 ; 674 ; 672 ;;;
BANANO (FRUTA FRESCA);Solo; 43,704 ; 31,374 ; 90,346 ; 74,238 ; 77,670 ; 10,923 ; 2,593 ; 157,049 ; 152,210 ; 151,055 ;;;
;Asociado; 5,000 ; 963 ; 1,266 ; 5,822 ; 1,324 ; 83 ;; 621 ; 764 ; 563 ;;;
CACAO (ALMENDRA SECA);Solo; 283,728 ; 135,723 ; 108,913 ; 124,032 ; 364,998 ; 39,087 ; 247 ; 138,752 ; 230,549 ; 293,318 ;;;
;Asociado; 40,213 ; 14,109 ; 8,871 ; 10,603 ; 48,680 ; 3,909 ;; 11,812 ; 29,539 ; 36,928 ;;;
CAFÉ (GRANO ORO);Solo; 19,949 ; 5,262 ; 4,183 ; 11,150 ; 17,753 ; 454 ; 36 ; 1,526 ; 4,489 ; 7,387 ;;;
;Asociado; 4,766 ; 1,145 ; 1,094 ; 4,001 ; 2,750 ; 125 ; 129 ; 1,415 ; 2,568 ; 2,618 ;;;
CAÑA DE AZÚCAR PARA AZÚCAR (TALLO FRESCO);Solo; 98,338 ; 5,538 ; 12,638 ; 53,904 ; 55,701 ; 6,464 ; 446 ; 114,025 ; 114,307 ; 114,248 ;;;
;Asociado;;;;;;;;;;;;;
CAÑA DE AZÚCAR PARA OTROS USOS (TALLO FRESCO);Solo; 15,422 ; 4,188 ; 4,906 ; 21,777 ; 2,724 ;; 15 ; 3,593 ; 3,297 ; 11,121 ;;;
;Asociado;;;;;;;;;;;;;
LIMÓN (FRUTA FRESCA);Solo; 4,461 ; 758 ; 249 ; 1,787 ; 3,603 ; 78 ;; 3,206 ; 3,312 ; 2,923 ;;;
;Asociado; 728 ; 789 ; 200 ; 514 ; 1,186 ; 17 ;; 1,600 ; 886 ; 1,244 ;;;
