;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;GANADO PORCINO;;;;;;;ÍNDICE;;;
;TOTAL;EXISTENCIA1 (Machos y Hembras);;TOTAL;VENTAS2 (Machos y Hembras);;;;;;
;;Menores de 2 meses de edad;Mayores de 2 meses de edad;;Menores de 2 meses de edad;Mayores de 2 meses de edad;;;;;
TOTAL NACIONAL;943,249;297,350;645,899;383,100;79,597;303,504;;;;;
REGIÓN SIERRA;601,650;199,564;402,086;152,752;41,399;111,353;;;;;
REGIÓN COSTA;307,964;88,483;219,481;213,367;33,896;179,471;;;;;
REGIÓN AMAZÓNICA;33,635;9,303;24,332;16,981;4,302;12,679;;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;43,425;11,851;31,574;11,305;4,209;7,096;;;;;
BOLÍVAR;40,552;8,420;32,133;7,832;3,216;4,616;;;;;
CAÑAR;17,200;4,185;13,014;11,822;1,415;10,407;;;;;
CARCHI;44,499;10,432;34,066;17,208;348;16,860;;;;;
COTOPAXI;107,283;39,193;68,090;19,891;11,773;8,118;;;;;
CHIMBORAZO;73,627;21,943;51,684;8,577;1,948;6,629;;;;;
IMBABURA;33,941;8,613;25,328;9,541;725;8,816;;;;;
LOJA;28,651;10,427;18,224;10,291;6,952;3,339;;;;;
PICHINCHA;46,012;13,233;32,779;8,249;2,194;6,056;;;;;
TUNGURAHUA;54,022;16,236;37,786;14,175;4,645;9,530;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;112,438;55,030;57,407;33,860;3,975;29,886;;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;31,887;8,333;23,553;13,390;5,242;8,149;;;;;
ESMERALDAS;31,950;9,387;22,564;6,358;2,285;4,073;;;;;
GUAYAS;105,828;29,978;75,849;136,707;12,805;123,901;;;;;
LOS RÍOS;30,945;5,921;25,023;10,139;3,118;7,021;;;;;
MANABÍ;95,521;31,468;64,053;38,553;10,425;28,127;;;;;
SANTA ELENA;11,834;3,396;8,438;8,220;20;8,200;;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;9,470;1,322;8,149;3,020;657;2,363;;;;;
NAPO;4,700;3,304;1,396;2,543;90;2,453;;;;;
ORELLANA;4,486;375;4,111;4,862;2,283;2,579;;;;;
PASTAZA;2,441;945;1,497;789;688;102;;;;;
SUCUMBÍOS;9,647;2,757;6,890;3,296;585;2,711;;;;;
ZAMORA CHINCHIPE;2,891;601;2,290;2,471;;2,471;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;
;;;;;;;;;;;
(1) Para existencia el periodo de referencia es el día de la entrevista;;;;;;;;;;;
(2) Para ventas el período de referencia es del 1 de julio al 30 de septiembre 2022;;;;;;;;;;;
