;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;GANADO OVINO;;;;;;;ÍNDICE;;;
;TOTAL;EXISTENCIA1 (Machos y Hembras);;TOTAL;VENTAS2 (Machos y Hembras);;;;;;
;;Menores de 6 meses de edad;Mayores de 6 meses de edad;;Menores de 6 meses de edad;Mayores de 6 meses de edad;;;;;
TOTAL NACIONAL;551,960;132,678;419,282;43,211;11,429;31,782;;;;;
REGIÓN SIERRA;517,346;122,582;394,764;39,170;10,643;28,527;;;;;
REGIÓN COSTA;33,500;9,889;23,611;4,003;764;3,239;;;;;
REGIÓN AMAZÓNICA;1,114;207;907;38;22;16;;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;64,354;16,282;48,072;7,640;2,764;4,876;;;;;
BOLÍVAR;18,781;4,507;14,274;1,241;398;843;;;;;
CAÑAR;21,820;6,384;15,436;1,473;276;1,197;;;;;
CARCHI;677;69;608;135;;135;;;;;
COTOPAXI;111,011;26,844;84,167;7,683;2,699;4,984;;;;;
CHIMBORAZO;121,043;28,342;92,701;10,928;1,657;9,270;;;;;
IMBABURA;7,063;1,544;5,519;369;78;291;;;;;
LOJA;41,017;10,355;30,662;437;59;378;;;;;
PICHINCHA;42,851;10,937;31,915;4,481;1,601;2,880;;;;;
TUNGURAHUA;88,496;17,223;71,274;4,695;1,067;3,629;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;233;97;136;87;44;44;;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;10,357;2,437;7,919;179;;179;;;;;
ESMERALDAS;2,204;509;1,694;399;;399;;;;;
GUAYAS;18,397;6,011;12,386;2,118;645;1,473;;;;;
LOS RÍOS;592;504;88;175;104;71;;;;;
MANABÍ;1,516;273;1,242;1,097;15;1,082;;;;;
SANTA ELENA;436;154;282;35;;35;;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;453;25;429;0;;0;;;;;
NAPO;117;9;108;;;;;;;;
ORELLANA;76;15;61;30;22;8;;;;;
PASTAZA;;;;;;;;;;;
SUCUMBÍOS;82;;82;8;;8;;;;;
ZAMORA CHINCHIPE;386;159;227;;;;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;
(1) Para existencia el periodo de referencia es el día de la entrevista;;;;;;;;;;;
(2) Para ventas el período de referencia es del 1 de julio al 30 de septiembre 2022;;;;;;;;;;;
