;;;;;;;;;;
TABLA 26.;;;;;;;;;;
SUPERFICIE SEGÚN PRODUCCIÓN Y VENTAS DE PLÁTANO (Fruta fresca);;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Plantada;Cosechada;;;;;;;
TOTAL NACIONAL;;160.262;135.813;749.450;675.046;;;;;
REGIÓN SIERRA;;31.519;27.966;182.281;170.822;;;;;
REGIÓN COSTA;;110.662;93.634;511.636;467.932;;;;;
REGIÓN AMAZÓNICA;;18.081;14.212;55.533;36.292;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;49;30;106;;;;;;
;Asociado;;;;;;;;;
BOLÍVAR;Solo;2.184;1.703;11.797;9.331;;;;;
;Asociado;3.534;3.509;13.451;13.258;;;;;
CAÑAR;Solo;;;;;;;;;
;Asociado;;;;;;;;;
CARCHI;Solo;700;500;2.139;1.759;;;;;
;Asociado;140;110;649;622;;;;;
COTOPAXI;Solo;1.431;1.378;9.426;9.089;;;;;
;Asociado;4.204;3.775;25.137;24.267;;;;;
CHIMBORAZO;Solo;459;456;3.180;2.735;;;;;
;Asociado;138;138;834;829;;;;;
IMBABURA;Solo;506;401;1.881;1.030;;;;;
;Asociado;58;22;89;;;;;;
LOJA;Solo;182;9;21;;;;;;
;Asociado;;;;;;;;;
PICHINCHA;Solo;447;376;1.191;385;;;;;
;Asociado;;;;;;;;;
TUNGURAHUA;Solo;;;;;;;;;
;Asociado;6;6;44;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;13.726;12.156;96.682;92.104;;;;;
;Asociado;3.754;3.397;15.655;15.412;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;125;125;664;640;;;;;
;Asociado;360;160;699;654;;;;;
ESMERALDAS;Solo;4.427;3.966;15.409;11.647;;;;;
;Asociado;1.341;1.197;4.170;3.099;;;;;
GUAYAS;Solo;9.175;6.903;46.164;44.109;;;;;
;Asociado;3.659;3.524;16.812;15.674;;;;;
LOS RÍOS;Solo;12.371;8.929;59.061;55.375;;;;;
;Asociado;10.564;8.989;45.102;42.219;;;;;
MANABÍ;Solo;52.673;47.026;284.529;263.051;;;;;
;Asociado;15.830;12.677;38.332;30.888;;;;;
SANTA ELENA;Solo;132;132;647;538;;;;;
;Asociado;5;5;46;38;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;1.907;1.651;5.865;2.422;;;;;
;Asociado;185;185;296;206;;;;;
NAPO;Solo;2.272;2.052;7.373;7.102;;;;;
;Asociado;326;296;1.614;1.511;;;;;
ORELLANA;Solo;3.380;2.413;11.034;7.260;;;;;
;Asociado;574;403;2.483;1.741;;;;;
PASTAZA;Solo;2.603;1.475;4.958;942;;;;;
;Asociado;81;81;916;192;;;;;
SUCUMBÍOS;Solo;5.000;4.722;17.319;12.000;;;;;
;Asociado;160;74;161;138;;;;;
ZAMORA CHINCHIPE;Solo;1.320;752;3.259;2.779;;;;;
;Asociado;274;110;256;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
