;;;;;;;;;;;;;;
TABLA 53. ;;;;;;;;;;;;;;
NÚMERO DE CABEZAS DE GANADO VACUNO PERDIDAS POR OTRAS CAUSAS, SEGÚN SEXO Y EDAD;;;;;;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;;;;;
(Unidades);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;
TOTAL NACIONAL; 22.613 ; 8.681 ; 3.256 ; 2.894 ; 2.530 ; 13.932 ; 1.681 ; 3.060 ; 9.191 ;;;;;
REGIÓN SIERRA; 11.632 ; 4.727 ; 963 ; 1.841 ; 1.923 ; 6.905 ; 1.135 ; 1.494 ; 4.276 ;;;;;
REGIÓN COSTA; 9.923 ; 3.268 ; 1.952 ; 941 ; 376 ; 6.655 ; 529 ; 1.354 ; 4.772 ;;;;;
REGIÓN AMAZÓNICA; 1.058 ; 686 ; 342 ; 112 ; 232 ; 372 ; 17 ; 212 ; 143 ;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY;1.914;465;95;126;244;1.449;73;127;1.249;;;;;
BOLÍVAR;1.199;510;63;171;276;689;142;121;426;;;;;
CAÑAR;352;183;30;94;59;168;;73;95;;;;;
CARCHI;382;120;13;76;31;262;25;149;88;;;;;
COTOPAXI;742;459;126;182;152;283;59;149;74;;;;;
CHIMBORAZO;1.488;928;59;700;169;560;224;121;216;;;;;
IMBABURA;985;430;133;33;263;556;126;59;371;;;;;
LOJA;936;256;45;14;196;681;;30;650;;;;;
PICHINCHA;1.883;703;166;167;370;1.180;332;181;668;;;;;
TUNGURAHUA;272;100;36;0;64;172;110;;62;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;1.478;573;196;277;99;905;43;484;377;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO;957;320;90;40;190;636;;38;599;;;;;
ESMERALDAS;1.412;319;99;173;47;1.093;61;242;790;;;;;
GUAYAS;1.682;974;712;226;35;707;105;233;369;;;;;
LOS RÍOS;319;151;142;2;7;168;55;31;82;;;;;
MANABÍ;5.550;1.503;909;498;96;4.047;307;808;2.932;;;;;
SANTA ELENA;4;1;;1;;3;;3;;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO;375;247;94;15;137;128;0;121;7;;;;;
NAPO;52;11;;11;;41;;11;30;;;;;
ORELLANA;46;43;;43;;3;;2;1;;;;;
PASTAZA;;;;;;;;;;;;;;
SUCUMBÍOS;268;86;10;43;33;183;;78;105;;;;;
ZAMORA CHINCHIPE;316;299;238;;61;17;17;;;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;;;;
