;;;;;;;;;;;
TABLA  57. ;;;;;;;;;;;
NÚMERO DE CABEZAS DE GANADO PORCINO Y VENTAS, SEGÚN SEXO Y EDAD;;;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;;
(Unidades);;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;GANADO PORCINO;;;;;;;ÍNDICE;;;
;TOTAL;EXISTENCIA (Machos y Hembras)1;;TOTAL;VENTAS (Machos y Hembras)2;;;;;;
;;Menores de 2 meses de edad;Mayores de 2 meses de edad;;Menores de 2 meses de edad;Mayores de 2 meses de edad;;;;;
TOTAL NACIONAL;1.162.685;350.556;812.129;491.717;147.147;344.570;;;;;
REGIÓN SIERRA;689.953;207.956;481.997;287.047;114.356;172.691;;;;;
REGIÓN COSTA;425.463;128.180;297.283;177.270;28.439;148.831;;;;;
REGIÓN AMAZÓNICA;47.269;14.420;32.849;27.400;4.352;23.049;;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;47.140;14.658;32.482;8.385;2.930;5.455;;;;;
BOLÍVAR;45.478;12.759;32.719;4.739;927;3.812;;;;;
CAÑAR;16.775;3.346;13.430;3.621;581;3.040;;;;;
CARCHI;21.495;9.206;12.290;25.505;4.605;20.900;;;;;
COTOPAXI;128.386;32.154;96.232;24.908;9.947;14.961;;;;;
CHIMBORAZO;76.646;20.849;55.797;16.709;6.703;10.006;;;;;
IMBABURA;21.986;5.704;16.282;6.848;1.933;4.915;;;;;
LOJA;40.973;10.792;30.181;16.965;6.007;10.958;;;;;
PICHINCHA;57.933;22.244;35.689;10.144;4.080;6.065;;;;;
TUNGURAHUA;97.729;22.210;75.520;28.290;6.449;21.841;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;135.412;54.035;81.377;140.933;70.193;70.740;;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;39.776;9.699;30.078;57.640;6.673;50.967;;;;;
ESMERALDAS;40.424;17.666;22.758;14.952;3.059;11.892;;;;;
GUAYAS;153.205;38.154;115.050;47.420;5.013;42.407;;;;;
LOS RÍOS;44.823;13.826;30.997;10.445;2.518;7.928;;;;;
MANABÍ;139.621;46.163;93.457;40.524;11.176;29.347;;;;;
SANTA ELENA;7.614;2.673;4.941;6.290;;6.290;;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;6.518;3.036;3.482;1.613;976;638;;;;;
NAPO;2.715;835;1.880;1.042;10;1.032;;;;;
ORELLANA;5.698;1.857;3.841;104;;104;;;;;
PASTAZA;3.291;1.014;2.277;1.388;686;702;;;;;
SUCUMBÍOS;23.952;6.271;17.681;19.721;1.319;18.401;;;;;
ZAMORA CHINCHIPE;5.095;1.407;3.688;3.532;1.360;2.172;;;;;
;;;;;;;;;;;
Notas:;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;
(1) Para existencia el periodo de referencia es el día de la entrevista;;;;;;;;;;;
(2) Para ventas  el período de referencia es del 1 de julio al 30 de septiembre 2019;;;;;;;;;;;
