;;;;;;;;;;;;;;
TABLA 54. ;;;;;;;;;;;;;;
NÚMERO DE CABEZAS DE GANADO VACUNO SACRIFICADAS EN EL TERRENO, SEGÚN SEXO Y EDAD;;;;;;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;;;;;
(Unidades);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;
TOTAL NACIONAL;37.705;16.528;7.609;6.138;2.782;21.177;2.392;4.611;14.173;;;;;
REGIÓN SIERRA;11.730;6.432;2.321;2.096;2.014;5.299;990;665;3.644;;;;;
REGIÓN COSTA;24.792;9.805;5.200;3.955;651;14.986;1.237;3.829;9.920;;;;;
REGIÓN AMAZÓNICA;1.183;291;88;86;117;892;165;118;609;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY;396;189;147;31;11;207;30;117;60;;;;;
BOLÍVAR;1.162;518;100;141;277;644;8;69;567;;;;;
CAÑAR;274;62;9;0;53;212;0;17;194;;;;;
CARCHI;942;721;101;187;433;220;0;16;204;;;;;
COTOPAXI;1.501;1.083;351;143;589;419;172;66;181;;;;;
CHIMBORAZO;611;319;111;0;208;292;54;23;215;;;;;
IMBABURA;708;418;155;103;160;291;32;13;246;;;;;
LOJA;465;257;11;233;13;208;49;0;159;;;;;
PICHINCHA;1.710;683;450;149;84;1.027;290;224;513;;;;;
TUNGURAHUA;682;596;493;0;103;87;10;26;51;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;3.279;1.586;394;1.109;82;1.693;345;95;1.253;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO;1.059;533;59;346;128;526;2;9;515;;;;;
ESMERALDAS;1.587;797;277;472;48;790;1;248;541;;;;;
GUAYAS;1.511;350;124;224;2;1.160;193;224;743;;;;;
LOS RÍOS;1.305;856;300;284;272;449;17;62;370;;;;;
MANABÍ;19.330;7.268;4.439;2.628;201;12.062;1.024;3.286;7.751;;;;;
SANTA ELENA;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO;282;81;0;43;39;201;165;0;36;;;;;
NAPO;0;0;0;0;0;0;0;0;0;;;;;
ORELLANA;9;9;0;9;0;0;0;0;0;;;;;
PASTAZA;171;71;0;0;71;101;0;0;101;;;;;
SUCUMBÍOS;613;123;88;29;7;490;0;42;448;;;;;
ZAMORA CHINCHIPE;107;7;0;6;1;100;0;76;24;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;;;;
